bw,ts,deltar,aurora_error,bbr_error
30,0.1,57.35403883539034,3.2476940708351707,3.172574297716379
30,0.2,42.70310604693901,3.940183901096472,3.578292314156454
30,0.4,25.40890958672596,5.274066553671988,5.259169447059334
30,0.8,7.106300684213128,6.404975388304554,5.9097247100301225
30,1,4.130873577093654,7.553473539591146,6.9120844513092665
30,1.5,-5.6251848610635165,9.830673467094861,9.23981237627407
30,2,-3.6175461342088155,12.062613129463813,9.933900620534624
30,4,-13.731499511557004,15.285562683760993,10.659849919541799
30,8,-20.273664334456157,11.344050461778387,8.10201326281281
30,10,-17.182038578095018,7.00906516572123,5.470473550597164
30,15,-8.655341522760892,4.890415323510331,5.759679648907186
30,30,114.40833365502412,3.590017549817858,25.95988784899451
40,0.1,64.75175859255549,2.82549766595733,2.946472974092784
40,0.2,50.04584687892796,4.192568785506815,3.554479714338223
40,0.4,26.587596203715243,5.270718458892548,5.468567477759602
40,0.8,6.852072326063928,6.67022800066499,5.644637791189979
40,1,5.364123986738539,7.992281702892366,7.20896414983642
40,1.5,1.6033575415501922,9.362008487362468,9.173820362625284
40,2,-8.2146784713077,12.156993049819437,10.12824065658695
40,4,-2.1380019136197745,12.66873435858531,11.910835417280959
40,8,-15.343898346017028,10.814237696332425,8.48923019987853
40,10,-13.592891347024164,7.534128886796535,6.336001237056008
40,15,-12.520363004365208,5.4148234327993805,7.15667160506838
40,30,106.00478551147955,3.5474133993365706,25.5972529020293
50,0.1,65.34196826802018,2.8570551962464594,3.3383141951164537
50,0.2,55.28029827921371,3.6340973355544146,3.4981734155348407
50,0.4,31.273866011818118,5.117661958338249,5.169437035902596
50,0.8,5.889488519514883,6.585492394840554,5.98640873820446
50,1,-2.386838687115599,8.692793740106293,7.179534368246499
50,1.5,-7.934907707609714,10.36443801885468,9.062440252932458
50,2,2.101210652467735,11.75772740322507,10.589303459335508
50,4,-4.250271457836462,13.286069483139851,11.638447627061069
50,8,-17.023853092822094,12.30389284807887,8.76212393403029
50,10,-11.142064173598555,8.303298593542253,6.792389372912554
50,15,-8.050787266380382,5.962015549965388,7.013901122346423
50,30,100.77888173747334,3.4908328274732163,25.543720963527335
60,0.1,70.93844355354989,2.620333598072898,3.4318767552023193
60,0.2,55.46578806051853,3.781566322199906,3.9155700861016878
60,0.4,32.71488182027841,5.439546989408655,5.6002615967961855
60,0.8,9.972870515010642,6.602477213009622,5.981440039865702
60,1,6.082715996262801,8.32833616282584,7.0611425673269945
60,1.5,-8.830457419290283,10.14350180495747,8.807076251289189
60,2,0.789978238393779,13.16001785589965,10.03854398640777
60,4,-8.04002421105048,14.10882365257128,10.669907779841886
60,8,-14.778975465405125,12.033390953539849,9.17109406472461
60,10,-13.294275538043763,9.343847695253412,7.581466006937661
60,15,-8.012852381232534,6.238742628923582,7.8233906021780655
60,30,96.54682414987553,3.818498527715012,25.42723336949171
70,0.1,74.06235374499934,2.6597035013690187,3.5103034467588996
70,0.2,57.35677122313636,4.2081708189159786,3.6605217115978723
70,0.4,32.18597651274571,5.449899204604783,5.632140121967766
70,0.8,5.106653217458863,6.717280520149698,6.2840491730652905
70,1,4.568515947849914,7.486203274252849,6.769150961984133
70,1.5,3.6892235402017484,9.602976046900418,9.38252090046115
70,2,-1.1076377492874272,13.247615581311804,10.109217293167191
70,4,0.9950693846008107,13.65236243250465,12.229190357568072
70,8,-11.984833100892388,12.08800188730043,9.137664965312387
70,10,-13.860874918830035,8.51930974612882,7.80842794638314
70,15,-6.3802234513543965,6.449790652121074,8.585519191541557
70,30,93.73729484124723,3.8580493927588244,25.040449428703447
80,0.1,71.96630158903254,2.708360459934108,3.5687313417722883
80,0.2,59.634204463459085,3.444021006395712,3.651236674999655
80,0.4,32.29712617698111,5.39455502419922,5.316535385029546
80,0.8,11.21245837980429,7.543454201772252,5.755483123135311
80,1,7.49310063696341,8.108959012921588,6.800167396007006
80,1.5,-2.6923228516578313,9.946499753017026,9.227156920517404
80,2,-1.4568347944831501,11.755346450719333,11.019895852573955
80,4,-3.1430913423991598,13.58236445617764,12.053301917320209
80,8,-18.97068368481564,13.325637889340385,9.239544629612118
80,10,-16.37298455953342,8.781311165769177,8.013035215131307
80,15,-6.8148776426421875,6.6993962886751754,8.763425243723255
80,30,91.97831648008264,3.737563097674101,24.98181336208613
90,0.1,76.3723174226515,2.7356557803991652,3.8074146460571248
90,0.2,60.47913009771175,3.777915826915952,3.6920493987634497
90,0.4,32.86351602365124,5.680732407120589,5.40053684951952
90,0.8,8.988161542064294,7.040757800763343,5.342204491080884
90,1,3.8324509402413938,7.4230287808017215,6.910151822343018
90,1.5,-1.7185681424627184,9.89985998839426,9.159171530243157
90,2,5.104534339793467,11.729809939210439,11.124379540715234
90,4,-1.8289161298728942,13.466432909027315,10.924127705734309
90,8,-15.75027361149273,12.69826229667984,9.358189865297296
90,10,-11.772991576140413,9.155615406532174,8.342367309432923
90,15,-5.7730400639310915,6.6784437745249745,9.051763683676963
90,30,88.09027473755765,3.9158789023215888,25.143622418295884
100,0.1,75.99803511849436,3.0092700835090427,3.796064557044896
100,0.2,64.0650011587836,3.6878253380851254,3.601988816100515
100,0.4,35.72325381277835,5.683127373733747,5.518356229504239
100,0.8,14.994710344328368,7.260188448604949,5.464048916662425
100,1,2.3866936223808892,7.526032522867625,7.163696737310598
100,1.5,3.202556091678197,9.781885243204712,9.069921292073815
100,2,4.197838500466673,11.026120139597428,11.449760822389202
100,4,3.2480938853712473,13.417220186212214,11.222976285030892
100,8,-10.575943503760357,11.691929413973465,10.059289636713627
100,10,-10.820227479156017,10.019434387648534,8.371856445208978
100,15,-8.51555267982846,6.668155420674612,9.255916476978143
100,30,87.23406155239496,4.027296591203737,24.991584598738104
0.1,0.1,178.90839157820852,0.0,5.02429586778808e-16
0.1,0.2,178.90839157820852,0.0,5.02429586778808e-16
0.1,0.4,178.90839157820852,0.0,5.02429586778808e-16
0.1,0.8,178.90839157820852,0.0,5.02429586778808e-16
